,source_ip,destination_ip,protocol,top_layer,packet_length,packet_number,capture_time,timestamp,dns_query,dns_response,dns_type,dns_class,query_count,answer_count,authority_count,udp_source_port,udp_destination_port
0,172.20.146.77,172.20.144.1,17,DNS,70,1,2024-03-28 01:38:18.591604,1711586298.591604300,www.rt.com,,1,0x0001,1,0,0,56303,53
1,172.20.146.77,172.20.144.1,17,DNS,70,2,2024-03-28 01:38:18.591611,1711586298.591611300,www.rt.com,,28,0x0001,1,0,0,56303,53
2,172.20.144.1,172.20.146.77,17,DNS,109,3,2024-03-28 01:38:18.661460,1711586298.661460100,www.rt.com,www.rt.com.rpz.GS.local,1,0x0001,1,1,0,53,56303
3,172.20.144.1,172.20.146.77,17,DNS,141,4,2024-03-28 01:38:18.713595,1711586298.713594800,www.rt.com,www.rt.com,28,0x0001,1,1,0,53,56303
4,172.20.146.77,172.20.144.1,17,DNS,70,5,2024-03-28 01:38:18.715390,1711586298.715390300,www.rt.com,,1,0x0001,1,0,0,38906,53
5,172.20.146.77,172.20.144.1,17,DNS,70,6,2024-03-28 01:38:18.715418,1711586298.715418400,www.rt.com,,28,0x0001,1,0,0,38906,53
6,172.20.144.1,172.20.146.77,17,DNS,109,7,2024-03-28 01:38:18.716690,1711586298.716690000,www.rt.com,www.rt.com.rpz.GS.local,1,0x0001,1,1,0,53,38906
7,172.20.144.1,172.20.146.77,17,DNS,141,8,2024-03-28 01:38:18.717096,1711586298.717096000,www.rt.com,www.rt.com,28,0x0001,1,1,0,53,38906
8,172.20.146.77,172.20.144.1,17,DNS,70,9,2024-03-28 01:38:18.718858,1711586298.718858200,www.rt.com,,1,0x0001,1,0,0,50317,53
9,172.20.146.77,172.20.144.1,17,DNS,70,10,2024-03-28 01:38:18.718865,1711586298.718864700,www.rt.com,,28,0x0001,1,0,0,50317,53
10,172.20.144.1,172.20.146.77,17,DNS,109,11,2024-03-28 01:38:18.719622,1711586298.719622000,www.rt.com,www.rt.com.rpz.GS.local,1,0x0001,1,1,0,53,50317
11,172.20.144.1,172.20.146.77,17,DNS,141,12,2024-03-28 01:38:18.719868,1711586298.719867800,www.rt.com,www.rt.com,28,0x0001,1,1,0,53,50317
12,172.20.144.1,224.0.0.251,17,MDNS,87,17,2024-03-28 01:38:31.160962,1711586311.160961800,,,,,,,,5353,5353
13,172.20.144.1,239.255.255.250,17,SSDP,167,19,2024-03-28 01:38:34.519771,1711586314.519771400,,,,,,,,61087,1900
